用户ID,使用概况,安全状态,交易状态,风险对比,时间
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:28次/月
收款地址核对:5次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:0笔
小额测试:2次
授权复核:1次",授权复核频率处于同类前13%,2025-01
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:29次/月
收款地址核对:4次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:0笔
小额测试:1次
授权复核:1次",风险操作低于71%同类用户,2025-02
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:27次/月
收款地址核对:2次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:0笔
小额测试:4次
授权复核:4次",备份完整度高于80%同类用户,2025-03
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:35次/月
收款地址核对:2次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:1笔
小额测试:3次
授权复核:1次",风险操作低于85%同类用户,2025-04
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:32次/月
收款地址核对:12次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:0笔
长时间未确认交易:1笔
小额测试:1次
授权复核:2次",备份完整度高于74%同类用户,2025-05
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:16次/月
收款地址核对:3次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:1笔
小额测试:1次
授权复核:4次",备份完整度高于81%同类用户,2025-06
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:28次/月
收款地址核对:13次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:0笔
长时间未确认交易:0笔
小额测试:6次
授权复核:1次",备份完整度高于57%同类用户,2025-07
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:35次/月
收款地址核对:9次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:1笔
小额测试:4次
授权复核:2次",风险操作低于66%同类用户,2025-08
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:19次/月
收款地址核对:8次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:2笔
小额测试:6次
授权复核:1次",授权复核频率处于同类前33%,2025-09
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:15次/月
收款地址核对:7次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:1笔
小额测试:6次
授权复核:4次",风险操作低于76%同类用户,2025-10
